Game,MS_Store_Link,ProductID,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre,Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes,Status.1,Added.1,Delay
Wing War,https://www.xbox.com/en-us/games/store/spacewing-war/9p3zdhtgc23p,9p3zdhtgc23p,Xbox / PC,Yes,Active,Aug 2025,,4.17,Dec 1983,41.62,,,,,Retro Classics: Atari 2600,,,,Active,Aug 2025,0.0
Aliens: Fireteam Elite,https://www.xbox.com/en-us/games/store/aliens-fireteam-elite/9PG28RXDG9GQ,9PG28RXDG9GQ,Xbox / PC,Yes,Active,Aug 2025,,4.23,Aug 2022,2.95,69,9.0,Shooter,,,,,,Active,Aug 2025,0.0
Aliens: Fireteam Elite,https://www.xbox.com/en-us/games/store/aliens-fireteam-elite/9PG28RXDG9GQ,9PG28RXDG9GQ,Xbox / PC,Yes,Active,Aug 2025,,4.23,Aug 2022,2.95,69,9.0,Shooter,,,,,,Active,Aug 2025,0.0
Heretic + Hexen,https://www.xbox.com/en-us/games/store/heretic-hexen/9NC7NRD0CM11,9NC7NRD0CM11,Xbox / PC,Yes,Active,Aug 2025,,4.4,Aug 2025,0.0,82,27.0,Compilation,,,,,,TBD,,4.4
Caesar,https://www.xbox.com/en-us/games/store/Caesar-Empire-Wars-XBox/9NS76Q8J3FJV,9NS76Q8J3FJV,Xbox / PC,Yes,Active,Jul 2025,,4.93,Jan 1992,33.56,,,City‑building,,Retro Classics: Amiga,,,,Active,Jul 2025,0.0
Okie Dokie,https://www.xbox.com/en-us/games/store/Doki-Doki-Literature-Club-Plus/9MWQ4NQ5WX37,9MWQ4NQ5WX37,Xbox / PC,Yes,Active,Jul 2025,,4.93,Jan 1996,29.56,,,,,Retro Classics: Atari 2600,,,,Active,Jul 2025,0.0
Skate Boardin',https://www.xbox.com/en-us/games/store/skate-game-preview/9PHF9K5Q6ZLZ,9PHF9K5Q6ZLZ,Xbox / PC,Yes,Active,Jul 2025,,4.93,Jul 1987,38.02,,,,,Retro Classics: Atari 2600,,,,Active,Jul 2025,0.0
Skeleton+,https://www.xbox.com/en-us/games/store/Skeletal-Avenger/9P7QR4N2DXT6,9P7QR4N2DXT6,Xbox / PC,Yes,Active,Jul 2025,,4.93,Jan 2003,22.56,,,,,Retro Classics: Atari 2600,,,,Active,Jul 2025,0.0
He Is Coming (Game Preview),https://www.xbox.com/en-us/games/store/he-is-coming-game-preview/9n86qx607tmr,9n86qx607tmr,PC,,Active,Jul 2025,,5.07,Jul 2025,0.0,,,RPG,,,,,,Active,Oct 2025,2.93
My Friendly Neighborhood,https://www.xbox.com/en-us/games/store/my-friendly-neighborhood/9mwv1mv9lwf4,9mwv1mv9lwf4,Xbox / PC,Yes,Active,Jul 2025,,5.07,Jul 2023,2.0,81,5.0,Survival,,,,,,Active,Oct 2025,2.47
Tony Hawk's Pro Skater 3 + 4,https://www.xbox.com/en-us/games/store/tony-hawks-pro-skater-3-4/9n1wk33qnsrj,9n1wk33qnsrj,Xbox / PC,Yes,Active,Jul 2025,,5.27,Jul 2025,0.0,82,18.0,Skating,,,,,,TBD,,5.27
Ultimate Chicken Horse,https://www.xbox.com/en-us/games/store/Ultimate-Chicken-Horse/BNNMLWZRNQF6,BNNMLWZRNQF6,Xbox / PC,Yes,Active,Jul 2025,,5.53,Sep 2018,6.77,80,7.0,Platformer,,,,,,Active,Jul 2025,0.0
Skiing,https://www.xbox.com/en-us/games/store/Ultimate-Ski-Jumping-2020/9N1J11R9SG6Z,9N1J11R9SG6Z,Xbox / PC,Yes,Active,Jul 2025,,5.6,Jan 1980,45.5,,1.0,Sports,,Retro Classics: Atari 2600,,,,Active,Jul 2025,0.0
Subterranea,https://www.xbox.com/en-us/games/store/Subterrain/BQT43569VWF2,BQT43569VWF2,Xbox / PC,Yes,Active,Jul 2025,,5.6,Jan 1983,42.5,,,,,Retro Classics: Atari 2600,,,,Active,Jul 2025,0.0
Rise of the Tomb Raider,https://www.xbox.com/en-us/games/store/Rise-of-the-Tomb-Raider/BPCN22ZVT05C,BPCN22ZVT05C,Xbox / PC,Yes,Active,Jul 2025,,5.6,Nov 2015,9.64,86,14.0,Action-Adventure,,"Returning title: Joined 12/5/23, left 12/15/24. Joined 3/1/18, left 5/15/20",,,,Active,Jul 2025,0.0
Call of Duty: WWII,https://www.xbox.com/en-us/games/store/Call-of-Duty-WWII/BV0NSD4NN4V4,BV0NSD4NN4V4,Xbox / PC,,Active,Jun 2025,,5.63,Nov 2017,7.66,79,7.0,Shooter,,,,,,Active,Jun 2025,0.0
Warcraft II: Remastered,https://www.xbox.com/en-us/games/store/warcraft-ii-remastered/9nm7j25gmdhp,9nm7j25gmdhp,PC,,Active,Jun 2025,,5.77,Nov 2024,0.62,72,21.0,Strategy,,,,,,Active,Oct 2025,3.17
Warcraft III: Reforged,https://www.xbox.com/en-us/games/store/warcraft-iii-reforged/9nwb9pl1l2pq,9nwb9pl1l2pq,PC,,Active,Jun 2025,,5.77,Jan 2020,5.41,59,31.0,Strategy,,,,,,Active,Oct 2025,3.17
FBC: Firebreak,https://www.xbox.com/en-us/games/store/fbc-firebreak-deluxe-edition-upgrade/9n00v4dmjsrj,9n00v4dmjsrj,Xbox / PC,Yes,Active,Jun 2025,,6.07,Jun 2025,0.0,64,7.0,Shooter,Exclusive,,,,,TBD,,6.07
Crash Bandicoot 4: It's About Time,https://www.xbox.com/en-us/games/store/Crash-Bandicoot-4-Its-About-Time/9PMXPQ307Z5P,9PMXPQ307Z5P,Xbox / PC,,Active,Jun 2025,,6.07,Oct 2020,4.71,85,10.0,Plaformer,,,,,,Active,Jun 2025,0.0
The Alters,https://www.xbox.com/en-us/games/store/the-alters-deluxe-edition/9n245sqh49wx,9n245sqh49wx,Xbox / PC,Yes,Active,Jun 2025,,6.2,Jun 2025,0.0,84,19.0,Survival,Exclusive,,,,,TBD,,6.2
Baldur's Gate: Enhanced Edition,https://www.xbox.com/en-us/games/store/Baldurs-Gate-and-Baldurs-Gate-II-Enhanced-Editions/9NCNBWZSHZR5,9NCNBWZSHZR5,Xbox,Yes,Active,Jun 2025,,6.47,Nov 2012,12.52,78,31.0,RPG,,,,,,Active,Jun 2025,0.0
Baldur's Gate II: Enhanced Edition,https://www.xbox.com/en-us/games/store/Baldurs-Gate-and-Baldurs-Gate-II-Enhanced-Editions/9NCNBWZSHZR5,9NCNBWZSHZR5,Xbox,Yes,Active,Jun 2025,,6.47,Nov 2013,11.56,78,45.0,RPG,,,,,,Active,Jun 2025,0.0
Crypt Custodian,https://www.xbox.com/en-us/games/store/crypt-custodian/9plg24bmtp3t,9plg24bmtp3t,Xbox / PC,Yes,Active,Jun 2025,,6.53,Aug 2024,0.77,82,10.0,Action-Adventure,,,,,,Active,Jun 2025,0.0
Spray Paint Simulator,https://www.xbox.com/en-us/games/store/spray-paint-simulator/9NDKXPQBBNJN,9NDKXPQBBNJN,Xbox / PC,Yes,Active,May 2025,,6.67,May 2025,0.0,78,9.0,Simulation,Exclusive,,,,,Active,Dec 2025,6.13
Metaphor: ReFantazio,https://www.xbox.com/en-us/games/store/metaphor-refantazio/9n5dv8310xp7,9n5dv8310xp7,Xbox / PC,Yes,Active,May 2025,,6.67,Oct 2024,0.63,94,66.0,RPG,Exclusive,,,,,Active,May 2025,0.0
Tom Clancy's The Division 2,https://www.xbox.com/en-us/games/store/Tom-Clancys-The-Division-2/BVQ3V30ZXVT5,BVQ3V30ZXVT5,Xbox / PC,Yes,Active,May 2025,,6.73,Mar 2019,6.21,82,26.0,Shooter,,,,,,Active,May 2025,0.0
Tales of Kenzera: ZAU,https://www.xbox.com/en-us/games/store/tales-of-kenzera-zau/9nnnmbxffg4w,9nnnmbxffg4w,Xbox / PC,Yes,Active,May 2025,,6.9,Apr 2024,1.08,76,8.0,Metroidvania ,Exclusive,,,,,TBD,,6.9
Activision Prototype #1,https://www.xbox.com/en-us/games/store/PROTOTYPE/BTB6374NZGV3,BTB6374NZGV3,Xbox / PC,Yes,Active,May 2025,,6.93,Jan 1983,42.39,,,,,"Retro Classics: Atari 2600, Publisher",,,,TBD,,6.93
Atlantis,https://www.xbox.com/en-us/games/store/atlantis/bs53s54dp2l1,bs53s54dp2l1,Xbox / PC,Yes,Active,May 2025,,6.93,Apr 1988,37.08,78,,Shooter,,Retro Classics: Atari 2600,,,,TBD,,6.93
Boxing,https://www.xbox.com/en-us/games/store/undisputed/9nq6z171xzx8,9nq6z171xzx8,Xbox / PC,Yes,Active,May 2025,,6.93,Jul 1980,44.89,,,Sports,,Retro Classics: Atari 2600,,,,TBD,,6.93
Bridge,https://www.xbox.com/en-us/games/store/bridge-race/9NFGR7284HXC,9NFGR7284HXC,Xbox / PC,Yes,Active,May 2025,,6.93,Dec 1980,44.47,,,,,Retro Classics: Atari 2600,,,,TBD,,6.93
Caesar II,https://www.xbox.com/en-us/games/store/Caesar-Empire-Wars-XBox/9NS76Q8J3FJV,9NS76Q8J3FJV,Xbox / PC,Yes,Active,May 2025,,6.93,Jan 1995,30.39,,7.0,Strategy,,"Retro Classics: DOS, Sierra Entertainment (defunct) publisher",,,,TBD,,6.93
Checkers,https://www.xbox.com/en-us/games/store/Checkers-for-Kids/9N83WWN31GFP,9N83WWN31GFP,Xbox / PC,Yes,Active,May 2025,,6.93,Jul 1980,44.89,,,,,Retro Classics: Atari 2600,,,,TBD,,6.93
Commando,https://www.xbox.com/en-us/games/store/commandos-origins-deluxe-edition/9n37rmlxbh85,9n37rmlxbh85,Xbox / PC,Yes,Active,May 2025,,6.93,Mar 1983,42.18,,,Shooter,,Retro Classics: Atari 2600,,,,TBD,,6.93
Demon Attack,https://www.xbox.com/en-us/games/store/Demon-Slayer-Kimetsu-no-Yaiba-The-Hinokami-Chronicles/9NVH4XG38T95,9NVH4XG38T95,Xbox / PC,Yes,Active,May 2025,,6.93,Apr 1988,37.08,,,Shooter,,Retro Classics: Atari 2600,,,,TBD,,6.93
Dragster,https://www.xbox.com/en-us/games/store/Drag-Pack/BXTVK4CFXZZT,BXTVK4CFXZZT,Xbox / PC,Yes,Active,May 2025,,6.93,Jul 1980,44.89,,,Racing,,Retro Classics: Atari 2600,,,,TBD,,6.93
Enduro,https://www.xbox.com/en-us/games/store/World-Enduro-Rally/9NRN0G8KJPSL,9NRN0G8KJPSL,Xbox / PC,Yes,Active,May 2025,,6.93,Feb 1983,42.31,,1.0,Racing,,Retro Classics: Atari 2600,,,,TBD,,6.93
Frostbite,https://www.xbox.com/en-us/games/store/space-engineers-frostbite-pack/9p3m382025q7,9p3m382025q7,Xbox / PC,Yes,Active,May 2025,,6.93,Aug 1983,41.77,,,Action‑Adventure,,Retro Classics: Atari 2600,,,,TBD,,6.93
Grand Prix,https://www.xbox.com/en-us/games/store/grand-prix-story/9nxn3l4lzc81,9nxn3l4lzc81,Xbox / PC,Yes,Active,May 2025,,6.93,Mar 1982,43.22,,,Racing,,Retro Classics: Atari 2600,,,,TBD,,6.93
MechWarrior,https://www.xbox.com/en-us/games/store/MechWarrior-5-Mercenaries/9PB86W3JK8Z5,9PB86W3JK8Z5,Xbox / PC,Yes,Active,May 2025,,6.93,Dec 1989,35.47,,,Shooter,,Retro Classics: SNES,,,,TBD,,6.93
Megamania,https://www.xbox.com/en-us/games/store/Mega-Man-Legacy-Collection/C38Z8L4RHSHS,C38Z8L4RHSHS,Xbox / PC,Yes,Active,May 2025,,6.93,Apr 1982,43.12,,,Shooter,,Retro Classics: Atari 2600,,,,TBD,,6.93
Police Quest,https://www.xbox.com/en-us/games/store/Police-Stories/9PN42GDJ8XFG,9PN42GDJ8XFG,Xbox / PC,Yes,Active,May 2025,,6.93,Jan 1987,38.39,,,Adventure,,"Retro Classics: Amiga, Sierra Entertainment (defunct) publisher",,,,TBD,,6.93
Robot Tank,https://www.xbox.com/en-us/games/store/Tanks-Bundle/9MV1S60RTR0R,9MV1S60RTR0R,Xbox / PC,Yes,Active,May 2025,,6.93,Mar 1983,42.16,,,Shooter,,Retro Classics: Atari 2600,,,,TBD,,6.93
Sky Jinks,https://www.xbox.com/en-us/games/store/Skylanders-Imaginators/BNQMNDKFH3Z6,BNQMNDKFH3Z6,Xbox / PC,Yes,Active,May 2025,,6.93,Nov 1982,42.56,,,Shooter,,Retro Classics: Atari 2600,,,,TBD,,6.93
Spider Fighter,https://www.xbox.com/en-us/games/store/spiderheck/9n0trf57smqh,9n0trf57smqh,Xbox / PC,Yes,Active,May 2025,,6.93,Jan 1983,42.39,,,Shooter,,Retro Classics: Atari 2600,,,,TBD,,6.93
Star Voyager,https://www.xbox.com/en-us/games/store/star-trek-voyager-across-the-unknown/9pk6xj2b5gzz,9pk6xj2b5gzz,Xbox / PC,Yes,Active,May 2025,,6.93,Apr 1982,43.14,,,Shooter,,Retro Classics: Atari 2600,,,,TBD,,6.93
Tennis,https://www.xbox.com/en-us/games/store/matchpoint-tennis-championships/9p66ggsjr71m,9p66ggsjr71m,Xbox / PC,Yes,Active,May 2025,,6.93,Mar 1981,44.22,,,Sports,,Retro Classics: Atari 2600,,,,TBD,,6.93
Firefighting Simulator: The Squad,https://www.xbox.com/en-us/games/store/firefighting-simulator-the-squad/9nbz7z3jrxq8,9nbz7z3jrxq8,Xbox / PC,Yes,Active,May 2025,,6.97,Dec 2022,2.46,60,10.0,Simulation,,,,,,Active,May 2025,0.0
Police Simulator: Patrol Officers,https://www.xbox.com/en-us/games/store/police-simulator-patrol-officers-gold-edition/9nhs0qx2322g,9nhs0qx2322g,Xbox / PC,Yes,Active,May 2025,,6.97,Nov 2022,2.53,58,16.0,Simulation,,,,,,Active,May 2025,0.0
Kulebra and the Souls of Limbo,https://www.xbox.com/en-us/games/store/kulebra-and-the-souls-of-limbo/9pft2mjkjhwx,9pft2mjkjhwx,Xbox / PC,Yes,Active,May 2025,,7.1,May 2025,0.0,73,10.0,Action-Adventure,,,,,,Active,Nov 2025,6.1
Warhammer: Vermintide 2,https://www.xbox.com/en-us/games/store/Warhammer-Vermintide-2/BXZWT67JBZJH,BXZWT67JBZJH,Xbox,Yes,Active,May 2025,,7.2,Mar 2018,7.18,83,20.0,Action / First-Person Shooter,Optimized,"Returning title: joined 9/24/20, left 9/30/21. Left 7/1/19",,,,Active,May 2025,0.0
Call of Duty: Modern Warfare II,https://www.xbox.com/en-us/games/store/call-of-duty-modern-warfare-ii/9n872nbw5xg5,9n872nbw5xg5,Xbox / PC,Yes,Active,May 2025,,7.6,Oct 2022,2.51,75,8.0,Shooter,,,,,,Active,Sep 2025,4.53
Towerborne (Game Preview),https://www.xbox.com/en-us/games/store/towerborne-game-preview/9P7TLX79S7N7,9P7TLX79S7N7,Xbox / PC,Yes,Active,Apr 2025,,7.67,Apr 2025,0.0,,,Beat-'Em-Up ,Exclusive,,,,,TBD,,7.67
Crime Scene Cleaner,https://www.xbox.com/en-us/games/store/crime-scene-cleaner/9NGZ1M3N98P2,9NGZ1M3N98P2,Xbox / PC,Yes,Active,Apr 2025,,8.07,Aug 2024,0.68,77,13.0,Simulation,Exclusive,,,,,Active,Oct 2025,5.47
SpongeBob SquarePants: The Patrick Star Game,https://www.xbox.com/en-us/games/store/spongebob-squarepants-the-patrick-star-game/9nmf3kxt4p4g,9nmf3kxt4p4g,Xbox / PC,Yes,Active,Apr 2025,,8.1,Oct 2024,0.53,67,4.0,Platformer,,,,,,Active,Apr 2025,0.0
Blue Prince,https://www.xbox.com/en-us/games/store/blue-prince/9pfrtprq569q,9pfrtprq569q,Xbox / PC,Yes,Active,Apr 2025,,8.3,Apr 2025,0.0,93,14.0,Action-Adventure,Exclusive,,,,,TBD,,8.3
Commandos: Origins,https://www.xbox.com/en-us/games/store/commandos-origins-deluxe-edition/9n37rmlxbh85,9n37rmlxbh85,Xbox / PC,Yes,Active,Apr 2025,,8.33,Apr 2025,0.0,76,31.0,Strategy,Exclusive,,,,,Active,Oct 2025,6.43
Diablo III: Reaper of Souls - Ultimate Evil Edition,https://www.xbox.com/en-us/games/store/Diablo-III-Reaper-of-Souls-Ultimate-Evil-Edition/C2R5R5P2DF3C,C2R5R5P2DF3C,Xbox / PC,,Active,Apr 2025,,8.37,Aug 2014,10.64,90,19.0,RPG,,,,,,Active,Apr 2025,0.0
Blizzard Arcade Collection,https://www.xbox.com/en-us/games/store/Blizzard-Arcade-Collection/9NZP7NKR2QWG,9NZP7NKR2QWG,Xbox / PC,Yes,Active,Mar 2025,,8.8,Feb 2021,4.1,75,5.0,Compilation,,"Blackthorne, The Lost Vikings, The Lost Vikings 2, Rock N Roll Racing, RPM Racing",,,,Active,Mar 2025,0.0
Mullet Madjack,https://www.xbox.com/en-us/games/store/mullet-madjack/9pg8tv30nn9h,9pg8tv30nn9h,Xbox / PC,Yes,Active,Mar 2025,,9.2,May 2024,0.83,88,4.0,Shooter,Exclusive,,,,,Active,Oct 2025,6.6
Enter the Gungeon,https://www.xbox.com/en-us/games/store/Enter-The-Gungeon/9NB65S6LFZRT,9NB65S6LFZRT,Xbox / PC,Touch Controls,Active,Mar 2025,,9.27,Apr 2016,8.93,85,19.0,Action-Adventure,,"Returning title: Originally joined 9/12/19, left 5/15/22",E10+,"Fantasy Violence, Use of Tobacco, Blood, Mild Language",,Active,Mar 2025,0.0
Monster Train,https://www.xbox.com/en-us/games/store/Monster-Train/9NP4BGBLLLXM,9NP4BGBLLLXM,Xbox / PC,Touch Controls,Active,Mar 2025,,9.5,May 2020,4.79,85,2.0,Strategy,,"Returning title: Originally joined 12/7/20, left 12/31/23",E,Mild Fantasy Violence,,Active,Mar 2025,0.0
Watch Dogs: Legion,https://www.xbox.com/en-us/games/store/watch-dogs-legion-ultimate-edition/9PBTMJ6PW9MK,9PBTMJ6PW9MK,Xbox / PC,Yes,Active,Feb 2025,,9.8,Oct 2020,4.32,76,18.0,Action-Adventure,,,,,,Active,Feb 2025,0.0
F1 24,https://www.xbox.com/en-us/games/store/f1-24/9plvvtdhs1p0,9plvvtdhs1p0,Xbox / PC,Yes,Active,Feb 2025,,9.97,May 2024,0.72,72,7.0,Racing,,,,,,TBD,,9.97
Kingdom: Two Crowns,https://www.xbox.com/en-us/games/store/Kingdom-Two-Crowns/BWT2GPVWCH2F,BWT2GPVWCH2F,Xbox / PC,Yes,Active,Feb 2025,,10.2,Dec 2018,6.17,84,29.0,Strategy,,"Returning title: Originally joined 12/11/18, left 11/15/19 (console only). Joins PC 6/11/25",,,,TBD,,10.2
Far Cry: New Dawn,https://www.xbox.com/en-us/games/store/far-cry-new-dawn/c084srbzwqql,c084srbzwqql,Xbox / PC,Yes,Active,Feb 2025,,10.5,Feb 2019,5.97,71,11.0,Shooter,,,,,,Active,Feb 2025,0.0
Citizen Sleeper 2: Starward Vector,https://www.xbox.com/en-us/games/store/citizen-sleeper-2-starward-vector/9mwcf1xbjbr2,9mwcf1xbjbr2,Xbox / PC,Yes,Active,Jan 2025,,10.63,Jan 2025,0.0,85,10.0,RPG,Exclusive,,,,,Active,Aug 2025,6.2
Sniper Elite: Resistance,https://www.xbox.com/en-us/games/store/sniper-elite-resistance/9mxrg5gcrpxz,9mxrg5gcrpxz,Xbox / PC,Yes,Active,Jan 2025,,10.63,Jan 2025,0.0,75,9.0,Shooter,,,,,,Active,Nov 2025,9.17
Shady Part of Me,https://www.xbox.com/en-us/games/store/Shady-Part-of-Me/9N9GTTGWZR90,9N9GTTGWZR90,Xbox / PC,Yes,Active,Jan 2025,,10.67,Dec 2020,4.14,78,5.0,Action-Adventure,,,,,,Active,Jan 2025,0.0
Ninja Gaiden II: Black,https://www.xbox.com/en-us/games/store/NINJA-GAIDEN-II/BSCSRTX27ZH3,BSCSRTX27ZH3,Xbox / PC,Yes,Active,Jan 2025,,10.87,Jan 2025,0.0,80,10.0,Action-Adventure,,,,,,Active,Oct 2025,8.73
EA Sports UFC 5,https://www.xbox.com/en-us/games/store/ufc-5/9nh8k4b707h0,9nh8k4b707h0,Xbox,Yes,Active,Jan 2025,,11.17,Oct 2023,1.21,78,14.0,Fighting,Exclusive,,,,,TBD,,11.17
Road 96,https://www.xbox.com/en-us/games/store/road-96/9nvbkdf85w8t,9nvbkdf85w8t,Xbox / PC,Touch Controls,Active,Jan 2025,,11.4,Aug 2021,3.39,79,8.0,Adventure,,"Returning title: Originally joined 7/7/22, left 6/30/23",T,"Drug Reference, Language, Mild Blood, Suggestive Themes, Use of Alcohol and Tobacco, Violence",,Active,Jan 2025,0.0
Crash Team Racing: Nitro-Fueled,https://www.xbox.com/en-us/games/store/Crash-Team-Racing-Nitro-Fueled/BQRB60PW2SDL,BQRB60PW2SDL,Xbox,,Active,Dec 2024,,12.5,Jun 2019,5.45,83,6.0,Racing,,Game Pass Essential (12/4/24),,,,Active,Dec 2024,0.0
Aliens: Dark Descent,https://www.xbox.com/en-us/games/store/aliens-dark-descent/9mx7dmhk13sc,9mx7dmhk13sc,Xbox / PC,Yes,Active,Nov 2024,,12.73,Jun 2023,1.44,75,24.0,Strategy,,,,,,Active,Nov 2024,0.0
Spyro Reignited Trilogy,https://www.xbox.com/en-us/games/store/spyro-reignited-trilogy/9nld3zrwf8dt,9nld3zrwf8dt,Xbox / PC,,Active,Nov 2024,,13.23,Nov 2018,6.0,82,17.0,Platformer,,,,,,Active,Nov 2024,0.0
Goat Simulator: Remastered,https://www.xbox.com/en-us/games/store/goat-simulator-remastered/9p71qfsc7q34,9p71qfsc7q34,Xbox / PC,Yes,Active,Nov 2024,,13.4,Nov 2024,0.0,65,3.0,Action-Adventure,Exclusive,,,,,Active,Aug 2025,9.43
Ashen,https://www.xbox.com/en-us/games/store/Ashen/BNXLPPCVS0HN,BNXLPPCVS0HN,Xbox / PC,,Active,Oct 2024,,13.67,Dec 2018,5.89,78,16.0,Action / RPG / Action-Adventure,,"Returning title: Originally joined 12/31/18, left 12/1/19",,,,Active,Oct 2024,0.0
Call of Duty: Warzone,https://www.xbox.com/en-us/games/store/call-of-duty-warzone/9nnfg8bqrcxl,9nnfg8bqrcxl,Xbox / PC,Yes,Active,Oct 2024,,13.8,Nov 2022,1.94,79,99.0,Shooter,,"Joins cloud on 10/25/24 (GPU only), free to play",,,,TBD,,13.8
Donut County,https://www.xbox.com/en-us/games/store/Donut-County/9N6V2181GHLM,9N6V2181GHLM,Xbox / PC,Touch Controls,Active,Oct 2024,,14.07,Aug 2018,6.14,82,2.0,Action,,"Returning title: Originally joined 1/21/21, left 1/31/23, Official PC Mod Support",E,"Mild Fantasy Violence, Comic Mischief",,Active,Oct 2024,0.0
Inscryption,https://www.xbox.com/en-us/games/store/inscryption/9p8nstdmz11p,9p8nstdmz11p,Xbox / PC,Yes,Active,Oct 2024,,14.3,Oct 2021,2.98,85,13.0,Card Battle,,,,,,Active,Oct 2024,0.0
Mad Streets,https://www.xbox.com/en-us/games/store/Mad-Streets/9PFFBT24PBM0,9PFFBT24PBM0,Xbox / PC,Yes,Active,Oct 2024,,14.4,Aug 2021,3.11,55,2.0,Beat-'Em-Up ,,,,,,Active,Oct 2024,0.0
SIFU,https://www.xbox.com/en-us/games/store/sifu/9p7pf6zp3958,9p7pf6zp3958,Xbox / PC,Yes,Active,Oct 2024,,14.57,Feb 2022,2.65,81,9.0,Xbox / PC,,,,,,TBD,,14.57
Legend of Mana (2021),https://www.xbox.com/en-us/games/store/legend-of-mana/9p2s2qvrb97n,9p2s2qvrb97n,Xbox / PC,Yes,Active,Sep 2024,,14.77,Jun 2021,3.26,72,18.0,RPG,,,,,,Active,Jul 2025,9.2
Trials of Mana (2020),https://www.xbox.com/en-us/games/store/trials-of-mana/9nhmr19ts1m0,9nhmr19ts1m0,Xbox / PC,Yes,Active,Sep 2024,,14.77,Apr 2020,4.42,76,21.0,RPG,,,,,,Active,Jul 2025,9.2
Ara: History Untold,https://www.xbox.com/en-us/games/store/ara-history-untold-untold-scenarios/9nt7207sgnfd,9nt7207sgnfd,PC,,Active,Sep 2024,,14.83,Sep 2024,0.0,76,13.0,Strategy,,,,,,Active,Oct 2025,12.23
Frostpunk 2,https://www.xbox.com/en-us/games/store/frostpunk-2-deluxe-edition-upgrade/9NM5W016S01V,9NM5W016S01V,Xbox / PC,Yes,Active,Sep 2024,,14.97,Sep 2024,0.0,86,11.0,Simulation,Exclusive,Joins console and cloud 9/18/25,,,,TBD,,14.97
Overwatch 2,https://www.xbox.com/en-us/games/store/overwatch-2-pc/9P36DQX6W9CS,9P36DQX6W9CS,Xbox / PC,,Active,Sep 2024,,15.07,Aug 2023,1.1,79,57.0,Shooter,,,,,,TBD,,15.07
Train Sim World 5,https://www.xbox.com/en-us/games/store/train-sim-world-5-gameplay-add-on-bundle/9pk69m7qtwsh,9pk69m7qtwsh,Xbox / PC,Yes,Active,Sep 2024,,15.07,Sep 2023,0.98,77,,Simulation,,,,,,Active,Mar 2025,6.07
Riders Republic,https://www.xbox.com/en-us/games/store/Riders-Republic/9PGCV2NVXCHL,9PGCV2NVXCHL,Xbox / PC,Yes,Active,Sep 2024,,15.27,Oct 2021,2.87,77,18.0,Sports,,,,,,Active,Sep 2024,0.03
Expeditions: A MudRunner Game,https://www.xbox.com/en-us/games/store/expeditions-a-mudrunner-game/9np9j3t0jwrl,9np9j3t0jwrl,Xbox / PC,Yes,Active,Sep 2024,,15.47,Mar 2024,0.5,77,50.0,Simulation,,,,,,Active,Sep 2024,0.23
Crash Bandicoot N. Sane Trilogy,https://www.xbox.com/en-us/games/store/Crash-Bandicoot-N-Sane-Trilogy/C27XPR5XDMFT,C27XPR5XDMFT,Xbox / PC,Yes,Active,Aug 2024,,16.37,Jun 2017,7.11,80,15.0,Platformer,,,,,,Active,Sep 2024,1.13
Dungeons Of Hinterberg,https://www.xbox.com/en-us/games/store/dungeons-of-hinterberg/9pgx472j0rjp,9pgx472j0rjp,Xbox / PC,Yes,Active,Jul 2024,,17.03,Jul 2024,0.0,82,13.0,Action-Adventure,Exclusive,Joins xbox one 12/4/24 (series exclusive before),,,,Active,May 2025,9.63
Flintlock: The Siege of Dawn,https://www.xbox.com/en-us/games/store/flintlock-the-siege-of-dawn/9pbbqhx6v3pj,9pbbqhx6v3pj,Xbox / PC,Yes,Active,Jul 2024,,17.03,Jul 2024,0.0,71,9.0,Action-Adventure,Exclusive,,,,,Active,May 2025,9.63
Neon White,https://www.xbox.com/en-us/games/store/neon-white/9mtgvhf37dfk,9mtgvhf37dfk,Xbox / PC,Yes,Active,Jul 2024,,17.27,Jun 2022,2.07,89,11.0,First-Person Shooter,,,T,"Fantasy Violence, Language, Mild Blood, Mild Suggestive Themes, Use of Tobacco",,Active,Apr 2025,9.17
Moving Out 2,https://www.xbox.com/en-us/games/store/moving-out-2/9p88k6nqw12h,9p88k6nqw12h,Xbox / PC,Yes,Active,May 2024,,18.7,Aug 2023,0.79,80,10.0,Simulation,Exclusive,,E,Crude Humor,,Active,Sep 2024,3.47
Galacticare,https://www.xbox.com/en-us/games/store/galacticare/9pb14ld018sm,9pb14ld018sm,Xbox / PC,Yes,Active,May 2024,,18.87,May 2024,0.0,80,20.0,Tycoon,Exclusive,,,,,Active,Mar 2025,9.4
"Little Kitty, Big City",https://www.xbox.com/en-us/games/store/little-kitty-big-city/9nf5s7mlm8xt,9nf5s7mlm8xt,Xbox / PC,Yes,Active,May 2024,,19.33,May 2024,0.0,79,3.0,Action-Adventure,,,RP,,,Active,Nov 2024,6.37
